Timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,Replaced blade
0.044000011,-0.286723763,-0.006193161,-884602,99.56359863,11131,92.66062927,0.589717209,1
0.048000011,-0.264879078,-0.013540268,-884602,102.9968262,11131,102.6779327,0.589879751,1
0.05200001,-0.253584296,-0.012527466,-884601,106.4300537,11131,107.6866684,0.603598058,1
0.05600001,-0.27571848,-0.003904343,-884601,120.1629639,11132,112.6952209,0.609592259,1
0.06000001,-0.296162695,0.007684708,-884600,123.5961914,11132,125.2169876,0.616604388,1
0.064000009,-0.269224346,-0.003698349,-884600,140.7623291,11133,127.7212601,0.633351326,1
0.068000009,-0.246561781,-0.011353493,-884599,151.0620117,11133,132.7299957,0.648486972,1
0.072000009,-0.248403162,-0.007815361,-884599,144.1955566,11134,137.7385712,0.664668322,1
0.076000009,-0.250797629,0.000413895,-884598,161.3616943,11134,155.2689819,0.680514157,1
0.080000008,-0.272754997,0.002934456,-884598,168.2281494,11135,157.7734833,0.690611184,1
0.084000008,-0.282723308,-0.000130653,-884597,171.661377,11136,175.3038025,0.690519631,1
0.088000008,-0.238962159,-0.010957718,-884596,188.8275146,11136,180.3124695,0.690805674,1
0.092000008,-0.218018532,-0.0088377,-884595,188.8275146,11137,187.8254089,0.686976552,1
0.096000007,-0.226540133,-0.003054619,-884595,192.2607422,11138,197.8428497,0.681527615,1
0.100000007,-0.257760346,0.00144577,-884594,205.9936523,11139,207.8601532,0.67491883,1
0.104000007,-0.236500859,-0.000968933,-884593,219.7265625,11140,210.3644104,0.673612714,1
0.108000006,-0.223333225,-0.004275322,-884592,223.15979,11141,227.8950806,0.678008378,1
0.112000006,-0.210513562,-0.014120102,-884591,236.8927002,11141,237.9121552,0.684490383,1
0.116000006,-0.216340438,-0.001375198,-884590,240.3259277,11142,245.4251709,0.689417541,1
0.120000006,-0.264610112,0.010669708,-884589,240.3259277,11143,252.9381866,0.690105915,1
0.124000005,-0.260528088,0.005581856,-884588,257.4920654,11144,260.451355,0.698895872,1
0.128000005,-0.21841079,-0.001490593,-884587,260.925293,11145,267.9642944,0.717056453,1
0.132000005,-0.228137359,-0.000681877,-884586,264.3585205,11147,280.4861755,0.736834347,1
0.136000004,-0.224815711,0.000720978,-884585,281.5246582,11148,293.0077515,0.758464873,1
0.140000004,-0.239501715,0.004107475,-884584,288.3911133,11149,303.0252075,0.778127551,1
0.144000004,-0.249801427,0.005365372,-884583,305.557251,11150,310.5380859,0.791997671,1
0.148000004,-0.241252244,0.004493713,-884581,312.4237061,11151,318.051178,0.80123359,1
0.152000003,-0.255569398,0.002415657,-884580,319.2901611,11153,328.0683899,0.814956784,1
0.156000003,-0.26533553,0.004610062,-884579,333.0230713,11154,335.5814209,0.831276298,1
0.160000003,-0.288023651,0.013578415,-884578,329.5898438,11155,353.1118469,0.846237302,1
0.164000003,-0.301878005,0.011219025,-884576,336.4562988,11157,360.6249084,0.856885731,1
0.168000002,-0.292653024,0.006666183,-884575,343.3227539,11158,373.1465149,0.85924083,1
0.172000002,-0.280380368,-0.004241943,-884573,353.6224365,11160,383.1639404,0.849266827,1
0.176000002,-0.286557078,-0.001180649,-884572,363.9221191,11161,400.6945801,0.836954236,1
0.180000001,-0.31351006,0.005527496,-884571,370.7885742,11163,408.207428,0.823252141,1
0.184000001,-0.299281448,0.006202698,-884569,374.2218018,11165,415.7204895,0.799035668,1
0.188000001,-0.279348403,-0.006743431,-884568,394.821167,11166,420.7289124,0.787239075,1
0.192000001,-0.272787422,-0.006139755,-884566,394.821167,11168,430.7466431,0.784726083,1
0.196,-0.28695336,-0.002111435,-884564,391.3879395,11170,435.755188,0.798319161,1
0.2,-0.28676635,0.00069809,-884563,408.5540771,11172,448.2770691,0.815824747,1
0.204,-0.24804537,-0.013549805,-884561,418.8537598,11173,453.2852478,0.832992136,1
0.208,-0.224425226,-0.013372421,-884559,429.1534424,11175,473.3201599,0.841570914,1
0.211999999,-0.256350726,-0.005216599,-884558,422.2869873,11177,480.8333435,0.848311603,1
0.215999999,-0.226325065,-0.01433754,-884556,439.453125,11179,490.850769,0.859901905,1
